time,latitude,longitude,altitude,apogeu,vel_vertical,q1,q2,q3,q4,accel_int,status,voltage_int,fix
6505,0.0,0.0,6746,13492,0,-0.6832665801048279,0.1910666525363922,0.1504051834344864,-0.688490092754364,106,1,39,0
6535,0.0,0.0,6746,13492,0,-0.6826441287994385,0.19150352478027344,0.15054602921009064,-0.6889551877975464,107,1,39,0
6576,0.0,0.0,6746,13492,0,-0.6817579865455627,0.19169123470783234,0.15107157826423645,-0.6896650791168213,107,1,39,0
6605,0.0,0.0,6746,13492,0,-0.681854784488678,0.19181473553180695,0.15151502192020416,-0.6894376873970032,105,1,39,0
6636,0.0,0.0,6746,13492,0,-0.6825268864631653,0.1921050101518631,0.15191875398159027,-0.6886025071144104,106,1,39,0
6666,0.0,0.0,6746,13492,0,-0.6822534799575806,0.19238758087158203,0.15220126509666443,-0.6887321472167969,108,1,39,0
6696,0.0,0.0,6745,13492,0,-0.6816689372062683,0.1929616779088974,0.1521531194448471,-0.6891608834266663,108,1,39,0
6726,0.0,0.0,6745,13492,0,-0.6816128492355347,0.19378899037837982,0.15191416442394257,-0.6890368461608887,106,1,39,0
6756,0.0,0.0,6746,13492,0,-0.6820855140686035,0.1939314901828766,0.15241125226020813,-0.688418984413147,106,1,39,0
6785,0.0,0.0,6745,13492,0,-0.6823651194572449,0.19385258853435516,0.1531084030866623,-0.6880093216896057,107,1,39,0
6815,0.0,0.0,6745,13492,0,-0.6817596554756165,0.193647563457489,0.1538223922252655,-0.6885078549385071,106,1,39,0
6846,0.0,0.0,6746,13492,0,-0.6816636323928833,0.19420024752616882,0.15379486978054047,-0.6884533762931824,106,1,39,0
6876,0.0,0.0,6746,13492,0,-0.6817502975463867,0.19480356574058533,0.1537778675556183,-0.6882008910179138,106,1,39,0
6905,0.0,0.0,6746,13492,0,-0.6825129389762878,0.19497087597846985,0.154306560754776,-0.6872786283493042,106,1,39,0
6935,0.0,0.0,6745,13492,0,-0.6824337244033813,0.1946496218442917,0.15519006550312042,-0.6872494220733643,107,1,39,0
6966,0.0,0.0,6745,13492,0,-0.6822344660758972,0.19495391845703125,0.15555718541145325,-0.6872779726982117,106,1,39,0
6996,0.0,0.0,6745,13492,0,-0.6820783615112305,0.195326030254364,0.15570297837257385,-0.6872942447662354,106,1,39,0
7025,0.0,0.0,6745,13492,0,-0.6821517944335938,0.19596827030181885,0.15573827922344208,-0.6870304942131042,106,1,39,0
7062,0.0,0.0,6745,13492,0,-0.6813633441925049,0.19599147140979767,0.15664225816726685,-0.6876005530357361,106,1,39,0
7106,0.0,0.0,6745,13492,0,-0.6809771656990051,0.19665490090847015,0.15655890107154846,-0.6878126263618469,105,1,39,0
7136,0.0,0.0,6746,13492,0,-0.6814197897911072,0.19804063439369202,0.15583011507987976,-0.6871418356895447,106,1,39,0
7166,0.0,0.0,6746,13492,0,-0.681259036064148,0.19836413860321045,0.15606005489826202,-0.6871557235717773,107,1,39,0
7195,0.0,0.0,6746,13492,0,-0.6808379292488098,0.19822701811790466,0.15671217441558838,-0.68746417760849,107,1,39,0
7226,0.0,0.0,6746,13492,0,-0.6809017658233643,0.19805516302585602,0.15741387009620667,-0.6872901916503906,106,1,39,0
7256,0.0,0.0,6746,13492,0,-0.681431233882904,0.1986919641494751,0.15751071274280548,-0.6865590810775757,105,1,39,0
7286,0.0,0.0,6746,13492,0,-0.6811290383338928,0.1991576999425888,0.1576412320137024,-0.6866940259933472,106,1,39,0
7306,0.0,0.0,6746,13492,0,-0.680985689163208,0.19933943450450897,0.15778125822544098,-0.6867513060569763,106,1,39,0
7336,0.0,0.0,6746,13492,0,-0.6807572245597839,0.19965830445289612,0.15808208286762238,-0.6868160367012024,106,1,39,0
7365,0.0,0.0,6745,13492,0,-0.6810111403465271,0.19973617792129517,0.15860985219478607,-0.6864198446273804,106,1,39,0
7395,0.0,0.0,6745,13492,0,-0.681438148021698,0.1997363120317459,0.15929025411605835,-0.6858382225036621,105,1,39,0
7426,0.0,0.0,6745,13492,0,-0.6808854341506958,0.19979944825172424,0.1597576141357422,-0.686259925365448,107,1,39,0
7456,0.0,0.0,6745,13492,0,-0.6805526614189148,0.2005617916584015,0.1595771312713623,-0.6864096522331238,106,1,39,0
7486,0.0,0.0,6745,13492,0,-0.680454432964325,0.20103749632835388,0.15974819660186768,-0.6863280534744263,105,1,39,0
7516,0.0,0.0,6745,13492,0,-0.6809104681015015,0.2010660171508789,0.1604512631893158,-0.6857031583786011,106,1,39,0
7552,0.0,0.0,6745,13492,0,-0.6798129081726074,0.20227332413196564,0.16076301038265228,-0.686363697052002,107,1,39,0
7615,0.0,0.0,6745,13492,0,-0.6797748804092407,0.20343442261219025,0.16031083464622498,-0.6861639618873596,106,1,39,0
7646,0.0,0.0,6745,13492,0,-0.680212676525116,0.20372824370861053,0.16071294248104095,-0.6855486035346985,106,1,39,0
7676,0.0,0.0,6746,13492,0,-0.6796770691871643,0.20327474176883698,0.161712184548378,-0.6859793663024902,107,1,39,0
7706,0.0,0.0,6745,13492,0,-0.6793597936630249,0.20345373451709747,0.1620807647705078,-0.6861535310745239,107,1,39,0
7736,0.0,0.0,6746,13492,0,-0.6792777180671692,0.2042180299758911,0.16187413036823273,-0.6860564947128296,106,1,39,0
7766,0.0,0.0,6746,13492,0,-0.6800214052200317,0.20498278737068176,0.16181538999080658,-0.6851049065589905,105,1,39,0
7796,0.0,0.0,6746,13492,0,-0.6800572276115417,0.20465578138828278,0.16275876760482788,-0.6849436163902283,108,1,39,0
7825,0.0,0.0,6746,13492,0,-0.6793379187583923,0.2046591192483902,0.16342413425445557,-0.6854977607727051,108,1,39,0
7855,0.0,0.0,6745,13492,0,-0.6790745258331299,0.20458324253559113,0.16399802267551422,-0.6856443285942078,106,1,39,0
7876,0.0,0.0,6745,13492,0,-0.679179310798645,0.20517612993717194,0.1638423204421997,-0.6854005455970764,105,1,39,0
7906,0.0,0.0,6745,13492,0,-0.6799576878547668,0.20593048632144928,0.16374824941158295,-0.6844244003295898,107,1,39,0
7936,0.0,0.0,6745,13492,0,-0.6795430779457092,0.20574019849300385,0.16454578936100006,-0.6847019791603088,107,1,39,0
7966,0.0,0.0,6745,13492,0,-0.6790677309036255,0.20568141341209412,0.16520343720912933,-0.685032844543457,106,1,39,0
7995,0.0,0.0,6745,13492,0,-0.6788626313209534,0.20622660219669342,0.16530394554138184,-0.68504798412323,105,1,39,0
8025,0.0,0.0,6745,13492,0,-0.6788269281387329,0.20683513581752777,0.1652405709028244,-0.6849151849746704,106,1,39,0
8070,0.0,0.0,6745,13492,0,-0.6788191795349121,0.20716902613639832,0.16568689048290253,-0.6847140789031982,106,1,39,0
8106,0.0,0.0,6745,13492,0,-0.6787731647491455,0.2069733887910843,0.1667127162218094,-0.6845698952674866,106,1,39,0
8136,0.0,0.0,6745,13492,0,-0.6786031126976013,0.20748093724250793,0.16687357425689697,-0.684545636177063,106,1,39,0
8165,0.0,0.0,6745,13492,0,-0.6789407730102539,0.20842187106609344,0.16663387417793274,-0.6839831471443176,106,1,39,0
8196,0.0,0.0,6745,13492,0,-0.678859293460846,0.20874811708927155,0.16694670915603638,-0.6838881969451904,107,1,39,0
